arquivo_original,extensao,bytes,sha256
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Integrações 28b320d517c64a61ba1abde8456b8f73.md,.md,341,9734b327e9d11441b3ceb70c3628285801f7ae2bc75edcccdff51de9f9995351
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Lançamentos Financeiros 7ecd9a1b4f714d93afb0125e9d6fdc78.md,.md,383,3150bf1b142975e12f42ce783442387635c6f873e12c98aea885a287d687c9cb
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Login e Usuários b2e51550abeb4464b721d06ee1a70b84.md,.md,364,f5f8f0cccdae3c8f7a9721063214184e784c807c1ca944b3b834e976cb6b2123
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Recorrências 3b60c1676cbc80ecb936d7b9589c9b57.md,.md,348,7952203b5070e734e3d5b642b017ad981eb655a95880d99df8677092d39c100c
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Relatórios 509066d1248149949f41bc2ca9f8dcd8.md,.md,331,5dbe751225f28907bebedd29e04c1e6766d498c335cb9419b1be0571a8815661
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Segurança 55599a682b344556bee785d9c1161ae4.md,.md,328,93394c8d66f692aa2b88326e3f68e1af9378371ae94cea2b0a25d7c682675272
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos/Transferências 5dac3e42dcf24f3b96cd3c031760be52.md,.md,354,a806708b2b9c71b581993f1db8e9e06f6f72e2f6998b95620e29c1b3a7d5988b
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos c765878df31148049ac58b0ca3fb8929.csv,.csv,4243,34841a11e7211b8ceacdb90da9b11443d64ce9c0d4edeba6ea2107b989882cdb
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 1 - Levantamento de Requisitos c765878df31148049ac58b0ca3fb8929_all.csv,.csv,4243,41c2f0bd52e1bde9d2c5e88bcc0d204d9a89f4e352589345ba3a019bd8f5826f
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Critérios de Aceitação 3be0c1676cbc80c6b257fa36f239087e.md,.md,385,941a34bec350e7a59cbb44ef0ee1b052860bfd8f4c0b08cc4b0f5108cd29b224
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Descrição Geral do Sistema 3be0c1676cbc8035be4cf9d54f78be72.md,.md,392,94eddc2bbfd5aba0cd426b57a6c60e02fa7d4f70f1e269c5f959d01b9b8a0227
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Introdução 3be0c1676cbc80b285b3cf04210aaf9f.md,.md,337,d6ede6972ab615ebcd73cd0d544ea5a888888b33cc4f65147fd72ce2009277e6
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Rastreabilidade dos Requisitos 3be0c1676cbc808d9490e73a5045cf04.md,.md,387,9f5cfa71dfa4b7653b1b0913bf10333110fa8ac7a85cc69d560e1660192cc869
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Regras de Negócio 3be0c1676cbc808eab1ad5f7b25e8064.md,.md,356,07b34e2f7fef13427ddbf8e94848fd357a2bd59fbd60fb9339007abd2437f23c
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Requisitos Funcionais 3be0c1676cbc80168e12c90b6b361c55.md,.md,359,a4e61706722ec16c53fe373cbbf64ff4a9a8adf36d12b63806a16a6cd902be09
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Requisitos Não Funcionais 3be0c1676cbc80d2a66ce5235d1f8b73.md,.md,379,1e51ed109136ab0e5aa1cfe128c2f9031281c3be2bdf4a6907ddfaa8315e8a5f
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos/Restrições e Dependências 3be0c1676cbc80a19e55f583304443ed.md,.md,394,296797df99adfc030904526fb33e5a83d24b35122df022f44de248bbbe60d8b7
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos 3be0c1676cbc80b899a5e085dcb57b75.csv,.csv,2693,ccb92291dcdb53f26f2c2303c9452d2489975ede3d99957200a106498b950906
Sistema de Gestão Financeiro Pessoal/Subetapas - Etapa 3 - Especificação de Requisitos 3be0c1676cbc80b899a5e085dcb57b75_all.csv,.csv,2693,e6ef43c47b46f2ff4a31ae23c7f305a1b03c1f00182f2e0fbcb8563a2a89d2ea
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/@Documento de Visão 3ba0c1676cbc8078942ae64e60af70fa.md,.md,9790,6862222f6af25c54e82f614ab701cea6b60ed549c5c463137298ff874964e494
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/@Etapa 2 — Levantamento de Requisitos 3ba0c1676cbc8000977de63e07e86f44.md,.md,3849,9cbc16208531fc3fe944e5efea128e80d29613e8879067a5ae318cd171503fe2
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/@Etapa 3 — Especificação de Requisitos (SRS) 3ba0c1676cbc80579927e055f8ce6e4b.md,.md,6296,415322c7c311bf84823f02119a27e0944e0073a81913a18428ed781eb16932e6
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/@Etapa 4 — Casos de Uso/SGFP_Casos_de_Uso_v1.0.md,.md,33844,53e5a36f0105d7710577c9efa7646af5f67d0635dd46fc704bde228668160e96
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/@Etapa 4 — Casos de Uso 3c60c1676cbc80a2826dd1fcaf5873aa.md,.md,722,4958b256aee3d2e82420d23a5cb696f0acf55e5e35b4685ecf6a70a391b3274e
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/@Plano de Desenvolvimento do Projeto SGFP 3ba0c1676cbc8063be27e85900441429.md,.md,25184,f38b78917e1c5545cbafc3e01f919870200c4008b214bdc11b6874736097b2f6
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Sem título 3bb0c1676cbc801aa0ede8e76718578b.md,.md,72,a9fdbef2b649ab4862a53e1784372a9c0bb1726f5165a5e80bb552e7595fa6ec
Sistema de Gestão Financeiro Pessoal/Tarefas — S G F P/Tarefa @Arquivos 3b80c1676cbc80a3932fdf465e7a6a84.md,.md,7962,9b9a7630e866187c80fd1dd73eef085f9176140b098fc3068009af92b442d49a
